Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Values/C/Mean Values/C/Min Values/C/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Loss/Cost Loss/DeltaCost Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd LagrangeMultiplier TotalEnvSteps Time FPS
1 -0.22012223 0.89376897 -1.5936265 2.4480777 0.9512157 1.6129062 0.0 6.7550397 1000.0 1000.0 1000.0 0.0790647 -0.06806257 0.31711817 -2.0345052e-09 -3.3942037 20.759558 0.034972116 -0.18041189 0.24852356 -0.007436312 0.008241416 -0.0028654328 -0.0061535966 11.680294 -3.4501162 0.74363124 0.0008992855 80.0 0 1.0005105 0.0003 0.508999994180536 0.0 30000 65 455
2 1.2781438 2.2932599 -1.9929065 6.697363 5.785789 6.8791046 0.0 23.073318 1000.0 1000.0 1000.0 -0.019458525 -0.8835726 1.1071793 -3.0517577e-09 -4.1358023 16.861639 -0.45173243 -11.494685 13.357739 -0.007416687 0.02427587 -0.009434663 -0.021054223 30.284504 -26.47567 0.7416687 0.0035922192 80.0 0 1.0021737 0.00029939999999999996 0.5080020093473719 0.0 60000 131 454
3 2.3366182 2.2158108 -1.2971418 6.938191 7.0238595 8.924873 0.0 35.29004 1000.0 1000.0 1000.0 0.11705517 -0.5819408 1.6523502 2.0345052e-09 -4.6197176 14.773812 1.2611817 -13.573364 23.058252 -0.0073970216 0.022682447 -0.015764177 -0.018599521 32.02619 -29.346943 0.73970217 0.020918619 50.0 0 0.9992598 0.0002988 0.5070039867303798 0.0 90000 180 620
4 2.525471 2.6305294 -1.7831211 7.8737307 4.57542 5.8958573 0.0 19.283087 1000.0 1000.0 1000.0 0.15949772 -0.63014674 1.8118174 4.0690105e-09 -6.379068 19.360098 2.6846979 -13.074061 23.35714 -0.007377321 0.018476399 -0.015563593 -0.015783688 26.998455 -24.342604 0.7377318 0.024571346 45.0 0 1.0046434 0.0002982 0.5060059945689283 0.0 120000 225 669
5 5.6402116 2.7674892 -0.7503372 12.339785 3.7087016 5.314131 0.0 25.07031 1000.0 1000.0 1000.0 0.3130401 -0.47907168 2.087694 -1.8310548e-08 -4.944065 14.284155 5.672324 -11.436035 26.474327 -0.007357561 0.030066572 -0.02016132 -0.024683973 20.07969 -17.714348 0.7357575 0.020417636 42.0 0 1.005724 0.00029759999999999997 0.5050080103088117 0.0 150000 268 695
6 5.7564692 4.268639 0.12824196 16.797972 7.425547 8.554034 0.0 30.106926 1000.0 1000.0 1000.0 0.30999196 -0.5480494 1.9814141 2.2379558e-08 -4.9698544 15.271591 5.752172 -12.006197 23.176632 -0.0073378086 0.03354672 -0.027317194 -0.028460933 30.383915 -27.33963 0.73377925 0.023328897 36.0 0 1.0133331 0.00029699999999999996 0.504010011618452 0.0 180000 308 744
7 7.695459 5.5386767 -0.20996448 20.94177 4.444449 6.153635 0.0 27.043259 1000.0 1000.0 1000.0 0.43649107 -0.4937689 2.11337 1.373291e-08 -4.1272173 14.380754 6.3832803 -12.35709 28.595463 -0.007317983 0.042119965 -0.016267207 -0.03519224 24.799212 -21.884434 0.7317974 0.011638356 80.0 0 1.0035503 0.0002964 0.5030120063706592 0.0 210000 375 450
8 10.446635 4.656516 1.2925378 18.797861 5.534779 7.1265435 0.017644774 29.903442 1000.0 1000.0 1000.0 0.7208782 -0.61026174 2.6726387 1.4241537e-08 -5.164773 9.893869 6.903474 -10.597135 27.180527 -0.007298123 0.062670484 -0.124142334 -0.05275882 22.241644 -19.20731 0.729811 0.02061868 23.0 0 1.0952939 0.0002958 0.5020140024227473 0.0 240000 407 941
9 12.210273 4.2158933 4.4409127 19.232782 4.973282 7.73601 0.0 29.985687 1000.0 1000.0 1000.0 0.81363016 -0.3867331 2.1949158 7.1207684e-09 -3.7884614 11.908036 7.499447 -10.748973 28.106546 -0.007278219 0.06471772 -0.0151070105 -0.053700536 18.011625 -14.970631 0.7278213 0.02007931 39.0 0 1.0077664 0.00029519999999999997 0.5010160076164407 0.0 270000 448 720
10 11.469718 4.9915314 1.2841039 20.787796 5.9220996 5.6846013 0.0060642404 22.77397 1000.0 1000.0 1000.0 0.87986875 -0.45611918 2.6313725 -1.6276042e-08 -4.843356 9.935863 7.7820816 -10.658425 26.827578 -0.0072582625 0.062359054 -0.014000707 -0.05288914 18.203314 -15.690445 0.7258273 0.005636469 80.0 0 1.0042269 0.00029459999999999995 0.5000179999743863 0.0 300000 514 454
