Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd TotalEnvSteps Time FPS
1 -0.3836555 0.67342764 -1.6704853 1.0459187 88.46429 108.11749 0.0 429.0 1000.0 1000.0 1000.0 0.07869458 -0.05753558 0.30412412 -0.018994706 -0.34483185 0.24499315 0.018994704 0.0068866867 -0.0006453572 -0.0055807577 0.74363124 0.0028550746 80.0 0 0.9979413 0.0003 0.508999994180536 30000 16 1800
2 1.1349566 1.4642552 -0.696696 5.2064443 171.07143 179.50227 0.0 624.0 1000.0 1000.0 1000.0 0.0030666494 -0.6079247 0.522539 0.016820919 -0.3507477 2.913143 -0.016820919 0.016314775 -0.0017571531 -0.013758358 0.7416687 0.0042817006 80.0 0 0.997453 0.00029939999999999996 0.5080020093473719 60000 31 2074
3 1.902788 1.6911967 -0.5693757 5.6468167 180.03572 154.84566 0.0 548.0 1000.0 1000.0 1000.0 0.05802089 -0.36306235 1.3092525 0.018068507 -0.49301463 2.0123127 -0.018068507 0.013888268 -0.0015605345 -0.011995247 0.73970217 0.003836144 80.0 0 0.99785566 0.0002988 0.5070039867303798 90000 48 1784
4 2.5875576 2.7364116 -0.38051018 7.776192 181.25 161.18968 0.0 631.0 1000.0 1000.0 1000.0 0.111230575 -0.37702543 2.0338655 0.022256074 -1.1927731 2.4776201 -0.022256074 0.016034776 -0.0017077739 -0.013539441 0.7377318 0.003233993 80.0 0 0.9996319 0.0002982 0.5060059945689283 120000 66 1667
5 3.383711 2.6825907 0.013042888 10.332834 131.10715 148.21083 0.0 714.0 1000.0 1000.0 1000.0 0.2610637 -0.30273515 1.7237031 0.013032308 -0.6797728 2.3222322 -0.013032308 0.022779215 -0.0022596535 -0.018963197 0.7357575 0.003340385 80.0 0 0.99976444 0.00029759999999999997 0.5050080103088117 150000 82 1890
6 3.2349842 2.4287558 0.1325582 11.913011 161.89285 126.61594 1.0 496.0 1000.0 1000.0 1000.0 0.1957996 -0.4227119 1.9009917 0.01799899 -0.81088644 2.0227804 -0.01799899 0.020900037 -0.002358451 -0.017656036 0.73377925 0.0036737423 80.0 0 0.9979547 0.00029699999999999996 0.504010011618452 180000 97 1937
7 3.655849 2.8207595 -0.13204299 9.004497 153.57143 140.60442 0.0 503.0 1000.0 1000.0 1000.0 0.21015006 -0.36304116 2.374097 0.021914296 -0.9377271 2.2569299 -0.021914296 0.021400437 -0.002435943 -0.0181943 0.7317974 0.003431908 80.0 0 0.9991648 0.0002964 0.5030120063706592 210000 113 1881
8 2.3513625 1.7668557 0.0155322775 6.294583 181.42857 226.41702 0.0 862.0 1000.0 1000.0 1000.0 0.23371468 -0.345604 2.2214808 -0.0023293365 -0.79842365 1.1715939 0.0023293367 0.013086738 -0.0018099496 -0.011141451 0.729811 0.003208987 80.0 0 0.99705297 0.0002958 0.5020140024227473 240000 131 1730
9 4.591881 3.567481 0.17640609 14.182954 133.42857 91.31516 0.0 333.0 1000.0 1000.0 1000.0 0.32354888 -0.32581773 2.1956813 0.02019384 -0.8000631 2.164003 -0.020193841 0.024536118 -0.0027950667 -0.021014668 0.7278213 0.003941591 80.0 0 0.9977912 0.00029519999999999997 0.5010160076164407 270000 145 2046
10 5.2313666 3.335153 0.5583739 13.554808 152.5 136.11537 10.0 550.0 1000.0 1000.0 1000.0 0.39260623 -0.44474497 2.5863874 0.019519981 -0.9471 2.0968387 -0.01951998 0.02868411 -0.0030227245 -0.02468967 0.7258273 0.0032285666 80.0 0 1.0010749 0.00029459999999999995 0.5000179999743863 300000 162 1802
