Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Values/C/Mean Values/C/Min Values/C/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Loss/Cost Loss/DeltaCost Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd Misc/AcceptanceStep Misc/Alpha Misc/FinalStepNorm Misc/gradient_norm Misc/xHx Misc/H_inv_g Misc/cost_gradient_norm Misc/A Misc/B Misc/q Misc/r Misc/s Misc/Lambda_star Misc/Nu_star Misc/OptimCase TotalEnvSteps Time FPS
1 -4.2262316385904946 1.8907092703541852 -7.6209183 -0.0829626 16.733333333333334 27.709122012585194 0.0 122.0 1000.0 1000.0 1000.0 0.15204700520833334 -0.1710166 0.45556006 -0.218862158203125 -2.115599 2.0723062 -0.20579308268229166 -0.4480679 0.17986195 -1.1444092340440193e-09 0.0353882871568203 0.0 -0.03239831700921059 3.1130754947662354 -1.3317773342132568 0.7436313033103943 0.007496596314013004 1.0 0 1.0 0.0003 0.508999994180536 1.0 2.9364655017852783 0.19478799402713776 0.19002297520637512 0.0023194141685962677 0.06633418798446655 0.06698168814182281 0.0023063200060278177 -0.01614277809858322 0.0023194141685962677 -0.00015734748740214854 0.0018907728372141719 0.3405454754829407 0.0 3.0 30000 33 906
2 -1.9298109690348306 1.1114707385976426 -4.06237 0.70507085 22.333333333333332 46.09073083332483 0.0 169.0 1000.0 1000.0 1000.0 0.07918282877604167 -0.07155216 0.4533226 -0.13092906087239584 -2.4005625 1.935625 0.24462858072916666 -1.6848559 13.057876 -1.907348723406699e-09 0.004211933817714453 0.0 -0.0028213378973305225 5.310227394104004 -2.16383695602417 0.741668701171875 0.008728673681616783 1.0 0 1.0 0.0003 0.5080020093473719 1.0 0.5739762187004089 0.1104394719004631 1.1870734691619873 0.0607074610888958 0.19241118431091309 0.07783230394124985 0.060640599578619 0.016588304191827774 0.0607074610888958 -0.0003733073826879263 0.0020843339152634144 1.7422322034835815 0.0 2.0 60000 69 830
3 0.3348125139872233 0.8209209982698643 -1.1488808 2.4226668 78.76666666666667 105.59409311130997 0.0 361.0 1000.0 1000.0 1000.0 0.11230763346354167 -0.1523477 0.4535378 -0.06314386800130209 -2.2115092 2.0579057 1.263275 -3.5485456 15.204728 -6.16709394662962e-09 0.0036828494630753994 0.0 -0.0016552505549043417 19.18421173095703 -13.182293891906738 0.7397021055221558 0.0051313042640686035 1.0 0 1.0 0.0003 0.5070039867303798 1.0 1.1636276245117188 0.29134947061538696 0.33519649505615234 0.014770719222724438 0.24694471061229706 0.1012270376086235 0.014592084102332592 -1.0657563209533691 0.014770719222724438 -0.0006896519917063415 0.0026625259779393673 0.0 2.740736246109009 0.0 90000 694 48
4 -0.1296748161315918 0.8772878255935922 -1.6689274 1.9045038 68.1 132.83282099441138 0.0 517.0 1000.0 1000.0 1000.0 0.07467277018229167 -0.19897166 0.3997117 -0.0564327392578125 -2.5326638 2.1414468 1.9932920572916666 -10.021642 22.335491 5.944569725357951e-09 0.0026211817748844624 0.0 -0.000952415051870048 16.991683959960938 -12.889986991882324 0.7377318143844604 0.006506581790745258 1.0 0 1.0 0.0003 0.5060059945689283 1.0 0.8057385683059692 0.3257935345172882 0.662153959274292 0.030806440860033035 0.30970823764801025 0.05608297884464264 0.030404821038246155 -0.7848740816116333 0.030806440860033035 0.0009627653053030372 0.002307950984686613 0.0 2.943748950958252 0.0 120000 726 939
5 -0.42277437845865884 1.011237801194143 -2.3207164 2.5187652 22.866666666666667 50.81845239838249 0.0 240.0 1000.0 1000.0 1000.0 0.06948084309895833 -0.26765677 0.47732165 -0.08153264973958334 -2.329217 2.060855 1.1790049479166667 -11.295546 20.826704 2.187093173233734e-08 0.0036862660199403763 0.0 -0.0014867166755720973 5.68970251083374 -4.399148464202881 0.7357575297355652 0.003181873820722103 1.0 0 1.0 0.0003 0.5050080103088117 1.0 0.9305375218391418 0.32005149126052856 0.39305752515792847 0.023097345605492592 0.3439418077468872 0.11367788910865784 0.022687681019306183 0.018416091799736023 0.023097345605492592 -0.001084945979528129 0.0028733445797115564 1.0746475458145142 0.0 2.0 150000 760 869
6 0.8016034444173177 1.2515373440173698 -1.6145248 3.1662347 129.53333333333333 166.93506097681617 0.0 655.0 1000.0 1000.0 1000.0 0.07017061360677083 -0.2644213 0.6257693 -0.0825369384765625 -2.50652 2.0162725 3.6577182291666666 -13.095112 21.904186 -8.90096052419409e-10 0.004583815112709999 0.0 -0.001813471200875938 31.165311813354492 -25.92021369934082 0.73377925157547 0.007571918424218893 1.0 0 1.0 0.0003 0.504010011618452 1.0 0.9909619688987732 0.2834583818912506 0.18267026543617249 0.020366471260786057 0.34223437309265137 0.10493092983961105 0.02026556245982647 -4.420809745788574 0.020366471260786057 0.0004982973914593458 0.002460636431351304 0.0 2.850955009460449 0.0 180000 793 917
7 -0.04903416633605957 1.120087927137075 -2.9661984 2.595504 68.73333333333333 97.42515824125375 0.0 320.0 1000.0 1000.0 1000.0 0.058313008626302086 -0.38972172 0.8022531 -0.042728226725260415 -2.2447696 2.4791825 5.010052604166667 -12.026818 30.831558 -1.5131632835618802e-08 0.0029397334437817335 0.0 -0.0013322897721081972 17.3720760345459 -13.412006378173828 0.7317973375320435 0.005463188514113426 1.0 0 1.0 0.0003 0.5030120063706592 1.0 0.913239598274231 0.2631175220012665 0.5984485149383545 0.02398061379790306 0.299455463886261 0.12212786823511124 0.02387930452823639 -0.4812304675579071 0.02398061379790306 0.0006217544432729483 0.0038158183451741934 0.0 2.2893941402435303 0.0 210000 827 887
8 0.5094685554504395 1.2796956876773071 -1.289511 3.203232 17.566666666666666 48.29815979499978 0.0 189.0 1000.0 1000.0 1000.0 0.09821405436197916 -0.35779324 0.6286445 -0.05831209309895833 -2.1539938 2.0321112 4.38341875 -5.4498377 26.21019 1.0553995899442725e-08 0.004442048259079456 0.0 -0.00190527003724128 5.720300197601318 -4.308318614959717 0.7298110127449036 0.006247795652598143 1.0 0 1.0 0.0003 0.5020140024227473 1.0 1.0704792737960815 0.3437732458114624 0.1773778349161148 0.017453128471970558 0.3211400806903839 0.06414113938808441 0.01616324856877327 0.005963262170553207 0.017453128471970558 0.002253331243991852 0.00393641646951437 0.9341608285903931 0.0 2.0 240000 861 893
9 1.3666816711425782 1.1717506444435635 -0.6870399 4.2552443 75.1 115.94145882728921 0.0 378.0 1000.0 1000.0 1000.0 0.07034751790364584 -0.49390703 1.0043092 -0.08051299641927083 -2.1608503 2.07406 4.37669375 -5.6299872 27.118427 -2.2252399922706445e-09 0.004784164950251579 0.0 -0.0021762943360954523 16.960491180419922 -13.752588272094727 0.7278212904930115 0.005982891656458378 1.0 0 1.0 0.0003 0.5010160076164407 1.0 1.028254508972168 0.29167044162750244 0.21728596091270447 0.018915968015789986 0.32380425930023193 0.07501009851694107 0.018800416961312294 -0.8551756739616394 0.018915968015789986 0.000575675570871681 0.002868007170036435 0.0 2.640730619430542 0.0 270000 895 887
10 1.0573187510172526 1.3242347858849604 -2.4065657 4.091109 57.833333333333336 99.7624104643962 0.0 420.0 1000.0 1000.0 1000.0 0.094800048828125 -0.44319037 0.87947744 -0.11255240071614583 -2.273678 2.114707 5.310457291666666 -3.1097517 30.321024 6.071726676992739e-09 0.005812149960547686 0.0 -0.0026438331697136164 15.679689407348633 -12.56496810913086 0.7258272767066956 0.007327175699174404 1.0 0 1.0 0.0003 0.5000179999743863 1.0 1.0876822471618652 0.25330403447151184 0.14753039181232452 0.0169054064899683 0.30767425894737244 0.14392973482608795 0.016613218933343887 -0.3357953727245331 0.0169054064899683 0.0009409058839082718 0.0030299092177301645 0.0 2.569209098815918 0.0 300000 927 914
