Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Values/C/Mean Values/C/Min Values/C/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Loss/Cost Loss/DeltaCost Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd LagrangeMultiplier TotalEnvSteps Time FPS
1 -4.2095685 1.5272962 -7.088891 -0.97172505 1.26204 2.6932197 0.0 11.10735 1000.0 1000.0 1000.0 0.15383828 -0.18092111 0.45277265 2.6448568e-08 -2.6102705 7.128114 -0.2103347 -0.47775358 0.16011481 -0.007436329 0.035475776 -0.0012716516 -0.0321152 2.6850362 -1.0148295 0.74363124 0.00031476578 80.0 0 1.000545 0.0003 0.508999994180536 0.0 30000 45 665
2 1.0079509 1.7415249 -2.141819 5.104011 4.6461563 9.016701 0.0 36.77419 1000.0 1000.0 1000.0 0.18911791 -1.1115816 1.7641671 -1.2207031e-08 -6.000109 12.145664 4.384992 -14.061593 14.486961 -0.0074166832 0.040312547 -0.011758384 -0.034120854 38.338505 -32.472183 0.7416687 0.020642124 65.0 0 0.99849725 0.00029939999999999996 0.5080020093473719 0.0 60000 86 724
3 1.1700124 1.4256736 -1.1795462 3.3042815 3.1101635 5.926943 0.0 20.453527 1000.0 1000.0 1000.0 0.40327618 -1.1187663 2.1673906 -1.6276042e-08 -6.415076 17.180466 0.9733815 -18.556479 21.427195 -0.007397008 0.027010731 -0.012896011 -0.02328415 25.94057 -21.977554 0.73970217 0.02046522 39.0 0 1.0040038 0.0002988 0.5070039867303798 0.0 90000 111 1190
4 2.9000466 2.8338797 -0.6034855 9.665917 3.5529807 4.8590684 0.0 17.039825 1000.0 1000.0 1000.0 0.452726 -0.7413236 2.0630379 -4.0690105e-09 -5.503067 9.622798 4.488983 -13.793393 29.221008 -0.0073773162 0.029907051 -0.022252541 -0.024887765 21.51101 -17.832478 0.7377318 0.021394134 65.0 0 1.0098116 0.0002982 0.5060059945689283 0.0 120000 149 790
5 3.5747662 2.9244971 -0.63701934 9.594811 6.709342 8.923582 0.0 36.123768 1000.0 1000.0 1000.0 0.3892362 -0.6990833 1.9234896 4.0690105e-09 -6.8381543 10.740378 3.1024024 -13.575775 26.342566 -0.0073575713 0.02405164 -0.014855774 -0.019044599 17.432491 -14.767703 0.7357575 0.020069873 30.0 0 1.0050184 0.00029759999999999997 0.5050080103088117 0.0 150000 171 1407
6 1.7845755 2.2207735 -0.47031087 7.9339757 3.6315305 7.7748003 0.0 32.216778 1000.0 1000.0 1000.0 0.38664806 -0.7141787 1.7443526 -1.6276042e-08 -7.7050276 9.354222 2.565171 -13.618206 24.2961 -0.0073377825 0.013467548 -0.008268678 -0.011190417 25.123081 -22.774035 0.73377925 0.020056155 26.0 0 1.003957 0.00029699999999999996 0.504010011618452 0.0 180000 190 1567
7 2.6973794 2.6434515 -1.2239944 7.8341813 4.160643 6.6628127 0.0 27.869543 1000.0 1000.0 1000.0 0.33831203 -0.45367467 1.7714573 -8.646647e-09 -5.7928233 14.197762 4.9723263 -10.911851 21.916391 -0.0073179705 0.01141295 -0.010309717 -0.008878801 38.354412 -34.29167 0.7317974 0.020074617 36.0 0 0.99976486 0.0002964 0.5030120063706592 0.0 210000 214 1245
8 2.95052 3.0440803 -0.033440366 14.290953 4.8658156 8.224589 0.0 29.810251 1000.0 1000.0 1000.0 0.32588896 -0.4451774 1.989392 -1.0172526e-08 -6.493122 12.38104 6.3785653 -12.005007 29.548168 -0.007298109 0.009492425 -0.0115930755 -0.0074298736 24.984968 -21.164463 0.729811 0.021536164 45.0 0 1.0032234 0.0002958 0.5020140024227473 0.0 240000 246 942
9 6.6546392 4.5565243 0.32800028 18.2202 6.9255404 7.7246027 0.0 33.111687 1000.0 1000.0 1000.0 0.5412956 -0.3447485 1.8643782 8.138021e-09 -6.034855 8.41486 7.1702666 -14.189342 29.25769 -0.007278217 0.02177133 -0.0071009914 -0.015222859 15.212373 -11.541584 0.7278213 0.004585743 80.0 0 1.0023972 0.00029519999999999997 0.5010160076164407 0.0 270000 300 554
10 7.774533 5.6391206 -0.0051840823 15.775233 2.636673 4.254554 0.0 18.43352 1000.0 1000.0 1000.0 0.6024499 -0.46249947 1.8978453 -1.6276042e-08 -6.5768576 12.446159 7.921219 -5.8169003 29.356688 -0.0072582588 0.02221981 -0.008818095 -0.016416661 18.716473 -16.026672 0.7258273 0.010057334 80.0 0 1.0032977 0.00029459999999999995 0.5000179999743863 0.0 300000 353 563
