Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Values/C/Mean Values/C/Min Values/C/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Loss/Cost Loss/DeltaCost Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd Misc/AcceptanceStep Misc/Alpha Misc/FinalStepNorm Misc/gradient_norm Misc/xHx Misc/H_inv_g Misc/cost_gradient_norm Misc/A Misc/B Misc/q Misc/r Misc/s Misc/Lambda_star Misc/Nu_star Misc/OptimCase TotalEnvSteps Time FPS
1 -4.1552815 1.5343233 -7.135192 -0.9553645 11.464286 23.725336 0.0 106.0 1000.0 1000.0 1000.0 0.15440133 -0.17988133 0.45193675 -0.21362029 -2.3060298 2.2551966 -0.21077241 -0.48016936 0.15555157 1.3969839e-08 0.035592042 0.0 -0.032180104 2.518559 -1.1024618 0.74363124 0.010714858 1.0 0 1.0 0.0003 0.508999994180536 14.0 3.1575077 0.02841908 0.1683688 0.0020060372 0.075724885 0.09226285 1.0 1.0 0.0020060372 4.21446e-06 0.0022114918 1.0 1.0 1.0 30000 10 2989
2 -1.8399681 1.4754726 -4.3474755 1.5474005 17.178572 42.72257 0.0 206.0 1000.0 1000.0 1000.0 0.07252617 -0.079218425 0.41950208 -0.08348646 -2.214076 2.461169 0.104644254 -1.4091556 13.579139 5.9604645e-08 0.0046285866 0.0 -0.0027802773 3.955202 -1.9670148 0.7416687 0.011300496 1.0 0 1.0 0.0003 0.5080020093473719 15.0 0.6650107 0.029363576 1.0119656 0.045224376 0.19120476 0.076231584 1.0 1.0 0.045224376 0.00051726494 0.002151784 1.0 1.0 1.0 60000 20 3010
3 -0.76797134 1.1656314 -3.3570733 1.6627944 49.785713 80.624954 0.0 295.0 1000.0 1000.0 1000.0 0.12442253 -0.10920195 0.43853498 0.02783767 -2.264164 2.0383272 0.4209745 -1.6904683 15.828733 -1.4901161e-08 0.004948104 0.0 -0.0033956913 11.862369 -6.063221 0.73970217 0.014627639 1.0 0 1.0 0.0003 0.5070039867303798 10.0 1.6943989 0.1657029 0.14054734 0.006966234 0.21023521 0.06624497 1.0 1.0 0.006966234 0.00012028871 0.0019065499 1.0 1.0 1.0 90000 29 3065
4 -0.71760565 1.2258824 -2.5304272 3.3272665 69.25 103.05464 0.0 386.0 1000.0 1000.0 1000.0 0.08699432 -0.1998366 0.48682034 -0.11418408 -2.2415125 2.092147 1.0593988 -5.8330173 17.977106 -1.1175871e-08 0.0032374929 0.0 -0.0015375979 17.111898 -13.195903 0.7377318 0.014960194 1.0 0 1.0 0.0003 0.5060059945689283 14.0 0.74633837 0.13048263 0.8288081 0.03590528 0.2668519 0.08128743 1.0 1.0 0.03590528 0.00097414805 0.0017851087 1.0 1.0 1.0 120000 39 3028
5 0.08482556 0.9372639 -1.5407408 3.421744 80.25 106.095856 0.0 334.0 1000.0 1000.0 1000.0 0.07840505 -0.21200891 0.39659527 -0.02525669 -2.409181 2.3875694 2.156712 -6.0154233 27.555254 0.0 0.0039048027 0.0 -0.0020943154 19.031254 -12.449833 0.7357575 0.014957875 1.0 0 1.0 0.0003 0.5050080103088117 11.0 1.292734 0.34469298 0.19031434 0.011967715 0.26126987 0.051066756 1.0 1.0 0.011967715 0.00070715684 0.0016653833 1.0 1.0 1.0 150000 49 3049
6 -3.3963177 1.6114985 -6.9439955 0.2034884 31.464285 41.175133 0.0 138.0 1000.0 1000.0 1000.0 0.07677427 -0.08402503 0.39296347 0.0889727 -2.2617993 2.2912579 1.5533255 -5.224977 33.669037 5.820766e-10 0.009845987 0.0 -0.0078087165 6.506734 -4.5124273 0.73377925 0.014442747 1.0 0 1.0 0.0003 0.504010011618452 15.0 1.0995783 0.034978703 0.6325664 0.016541597 0.16361362 0.030442342 1.0 1.0 0.016541597 0.000895674 0.0019204397 1.0 1.0 1.0 180000 60 2830
7 -0.30302328 1.2001048 -2.7447717 3.0796115 38.5 65.718285 0.0 237.0 1000.0 1000.0 1000.0 0.04925888 -0.25998917 0.56513417 -0.026593585 -2.2506456 1.967458 3.580807 -4.6914663 22.948584 2.2351742e-08 0.0029608516 0.0 -0.0009946963 9.056587 -6.851986 0.7317974 0.011881523 1.0 0 1.0 0.0003 0.5030120063706592 11.0 0.8256361 0.0768447 0.30749 0.029339489 0.38151208 0.06834582 1.0 1.0 0.029339489 0.003725505 0.0028853407 1.0 1.0 1.0 210000 70 2811
8 -0.9888063 1.085449 -3.3161173 1.9781997 40.5 57.76832 0.0 208.0 1000.0 1000.0 1000.0 0.04633317 -0.3148207 0.54230165 -0.15621157 -2.1303675 2.2237525 2.6209698 -10.305077 22.71304 -9.313226e-10 0.0048369407 0.0 -0.0028988393 9.770082 -7.585921 0.729811 0.010420078 1.0 0 1.0 0.0003 0.5020140024227473 12.0 1.2611164 0.0658985 0.24391034 0.012575328 0.25562716 0.11677492 1.0 1.0 0.012575328 0.0018802114 0.0026615663 1.0 1.0 1.0 240000 81 2799
9 -0.6798205 0.7858764 -2.0252435 1.2719924 26.642857 72.47473 0.0 296.0 1000.0 1000.0 1000.0 0.03473837 -0.3105518 0.54455805 -0.065462746 -2.0904987 2.3530257 2.7146015 -4.3345165 22.581587 -1.8626451e-09 0.0023493436 0.0 -0.0008805181 7.0763474 -5.158824 0.7278213 0.0 1.0 0 1.0 0.0003 0.5010160076164407 0.0 1.0149409 0.0 0.11858842 0.019415487 0.34649277 0.091968596 1.0 1.0 0.019415487 0.0031347182 0.0025634146 1.0 1.0 1.0 270000 92 2771
10 -0.4474481 0.80731916 -2.0296032 1.3683506 32.214287 86.78725 0.0 344.0 1000.0 1000.0 1000.0 0.03319713 -0.33816233 0.55762976 -0.061681055 -2.1804621 2.1207163 4.3137717 -8.165811 25.038677 0.0 0.0030405608 0.0 -0.0011369364 9.653714 -7.811283 0.7258273 0.014580697 1.0 0 1.0 0.0003 0.5000179999743863 9.0 0.85257554 0.062204953 0.22142838 0.027514657 0.38699645 0.12521105 1.0 1.0 0.027514657 0.0034731838 0.0038685873 1.0 1.0 1.0 300000 103 2808
