Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Values/C/Mean Values/C/Min Values/C/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Loss/Cost Loss/DeltaCost Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd LagrangeMultiplier TotalEnvSteps Time FPS
1 -4.1167135 1.6693321 -7.0995865 -0.08467793 12.178572 25.301119 0.0 111.0 1000.0 1000.0 1000.0 0.15235196 -0.16745837 0.44691327 -1.6276042e-08 -2.7119174 7.6736326 -0.2090221 -0.47599202 0.15800342 1.3038516e-08 0.03517869 -0.0051904246 -0.031944636 2.6029615 -0.9831942 0.74363124 0.00240911 80.0 0 1.0009673 0.0003 0.508999994180536 0.0 30000 8 3376
2 -2.6445365 1.8380146 -6.323284 2.8940628 15.142858 26.711039 0.0 83.0 1000.0 1000.0 1000.0 0.079014406 -0.07734127 0.3372581 2.0345052e-09 -3.943365 17.29622 -0.090661645 -1.577498 12.16211 -1.4901161e-08 0.0065023145 -0.015851593 -0.0046924874 3.813022 -1.9183285 0.7416687 0.005717528 80.0 0 0.9990731 0.00029939999999999996 0.5080020093473719 0.0 60000 17 3509
3 0.32187238 1.2773715 -2.2062678 2.9924817 70.07143 95.139725 0.0 360.0 1000.0 1000.0 1000.0 0.09646577 -0.20641258 0.54282427 -5.086263e-09 -3.2580607 18.452795 0.76702446 -2.5979981 17.391874 -8.0035534e-10 0.0037459838 -0.018414225 -0.0015799842 15.258819 -9.416033 0.73970217 0.0059489748 80.0 0 1.000249 0.0002988 0.5070039867303798 0.012054464779794216 90000 25 3604
4 0.93150336 0.98770386 -0.81970847 2.7763054 139.92857 143.19316 0.0 543.0 1000.0 1000.0 1000.0 0.10559344 -0.20345904 0.7141125 0.0 -4.9078007 18.378557 3.405526 -7.0340466 21.151987 0.0 0.0037589672 -0.016603632 -0.0014567821 35.42693 -24.383781 0.7377318 0.006218723 80.0 0 0.9994288 0.0002982 0.5060059945689283 0.03462689369916916 120000 34 3512
5 2.3878148 1.3641993 0.26874757 5.3319354 85.64286 87.86077 0.0 351.0 1000.0 1000.0 1000.0 0.15466397 -0.3164987 0.91762567 2.4414062e-08 -4.721324 14.535415 6.15186 -8.437388 25.892557 -2.2351742e-08 0.0060678413 -0.01387741 -0.002388813 25.648655 -18.706627 0.7357575 0.0050828783 80.0 0 0.99967515 0.00029759999999999997 0.5050080103088117 0.06014161556959152 150000 42 3584
6 5.2599955 2.3677785 0.095250614 10.355483 76.39286 59.092144 0.0 197.0 1000.0 1000.0 1000.0 0.24450485 -0.27806228 1.0861557 2.0345052e-09 -4.7125993 15.492455 5.9008985 -15.271975 27.227156 -1.8626451e-09 0.012809038 -0.010140182 -0.006004124 16.018301 -10.169373 0.73377925 0.004066354 80.0 0 1.000624 0.00029699999999999996 0.504010011618452 0.08711902797222137 180000 51 3596
7 5.6555634 2.632875 1.2642175 10.689439 124.71429 78.31523 0.0 373.0 1000.0 1000.0 1000.0 0.2807246 -0.2726312 1.1376853 -2.4414062e-08 -3.2581978 11.480241 6.908839 -8.362826 27.454874 2.6077032e-08 0.017536156 -0.010019034 -0.009179369 24.113688 -15.0485935 0.7317974 0.0040086317 80.0 0 1.0002489 0.0002964 0.5030120063706592 0.11656291037797928 210000 59 3572
8 7.5437384 2.9800575 1.4255861 12.3993635 78.85714 59.864555 0.0 222.0 1000.0 1000.0 1000.0 0.3714205 -0.26452303 1.2517005 2.4414062e-08 -3.2677794 12.428406 7.6965594 -6.888191 29.93881 -1.4901161e-08 0.018800773 -0.00861394 -0.009771257 15.795533 -10.919767 0.729811 0.0034548715 80.0 0 0.9998471 0.0002958 0.5020140024227473 0.14643260836601257 240000 69 3299
9 9.817747 3.1714168 0.7381762 14.683653 90.17857 92.41638 0.0 461.0 1000.0 1000.0 1000.0 0.46362826 -0.39088863 1.3944445 -1.4750163e-08 -4.0287504 11.76861 7.3058605 -5.866081 29.361435 1.3038516e-08 0.026897207 -0.009115669 -0.014480116 15.256497 -10.199395 0.7278213 0.0036007138 80.0 0 0.9996153 0.00029519999999999997 0.5010160076164407 0.17711614072322845 270000 77 3555
10 11.315613 3.1124234 1.4190764 16.868227 74.89286 55.4896 0.0 257.0 1000.0 1000.0 1000.0 0.5984856 -0.35510984 1.6436738 1.2715658e-08 -3.757249 12.56837 8.178261 -4.2448096 28.495737 -8.381903e-09 0.030132752 -0.008952996 -0.01616211 13.379727 -8.661648 0.7258273 0.0035515977 80.0 0 0.99892163 0.00029459999999999995 0.5000179999743863 0.20782680809497833 300000 86 3555
11 12.956362 2.5293312 8.074402 18.114775 70.53571 56.49936 0.0 215.0 1000.0 1000.0 1000.0 0.7062806 -0.36802763 1.8461161 4.0690105e-09 -5.049249 12.012302 8.357938 -4.628175 27.872894 -3.7252903e-09 0.03224289 -0.0078104613 -0.01818256 11.512543 -7.3499165 0.7238292 0.0033777766 80.0 0 0.9996374 0.000294 0.4990199874853069 0.23837578296661377 330000 94 3396
