Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd TotalEnvSteps Time FPS
1 -4.2436378479003904 1.8645330269560865 -7.557032 0.017802736 15.566666666666666 23.802916652079283 0.0 69.0 1000.0 1000.0 1000.0 0.15243430989583334 -0.1843695 0.4536191 -0.0961968017578125 -0.5493625 0.3776296 0.09619679301977158 0.035475000739097595 -0.0006541311740875244 -0.0325242280960083 0.7436313033103943 0.0021037892438471317 80.0 0 0.9971103072166443 0.0003 0.508999994180536 30000 33 909
2 -0.6093968709309896 1.4656420567759698 -4.88898 1.864387 35.46666666666667 74.41986042045497 0.0 255.0 1000.0 1000.0 1000.0 0.5330121744791667 -0.96787864 1.7614217 -0.09533069661458334 -1.0307304 1.4567274 0.09533070027828217 0.05313267931342125 -0.003587685525417328 -0.04772946611046791 0.741668701171875 0.004376941826194525 80.0 0 0.9937779903411865 0.0003 0.5080020093473719 60000 69 827
3 -0.03171195983886719 2.012437801308183 -5.633535 4.4913254 65.5 90.18342419757636 0.0 355.0 1000.0 1000.0 1000.0 0.40210126953125 -0.7590142 1.6354749 -0.06896717122395833 -0.752573 1.7860112 0.06896717101335526 0.03376719728112221 -0.0027469322085380554 -0.030465969815850258 0.7397021055221558 0.003986575175076723 80.0 0 0.9934051036834717 0.0003 0.5070039867303798 90000 104 858
4 0.7462690353393555 1.5750659262771005 -1.8251371 4.7618337 121.13333333333334 120.96879332428398 0.0 396.0 1000.0 1000.0 1000.0 0.224730126953125 -0.70658594 1.5518847 -0.026752008056640623 -0.69991016 1.697157 0.026752006262540817 0.024250509217381477 -0.0020977333188056946 -0.021427176892757416 0.7377318143844604 0.003642868483439088 80.0 0 0.9961236715316772 0.0003 0.5060059945689283 120000 677 52
5 1.5075450897216798 2.2768963522079604 -2.0347886 6.14991 103.7 127.77040362175688 0.0 461.0 1000.0 1000.0 1000.0 0.22654889322916666 -0.6458823 1.3579262 -0.014973499552408854 -0.74423814 1.7274742 0.014973500743508339 0.021268149837851524 -0.0020710639655590057 -0.017703210934996605 0.7357575297355652 0.003907540813088417 80.0 0 0.9959535598754883 0.0003 0.5050080103088117 150000 716 780
6 1.401559829711914 1.575756912409147 -2.7983112 3.858905 164.93333333333334 212.3024375743246 0.0 762.0 1000.0 1000.0 1000.0 0.19586969401041668 -0.65569216 1.5470985 -0.012074245198567708 -0.824808 1.422242 0.012074246071279049 0.011211063712835312 -0.001399485394358635 -0.008805578574538231 0.73377925157547 0.0036993641406297684 80.0 0 0.996303915977478 0.0003 0.504010011618452 180000 752 841
7 1.8838123321533202 1.8434381770876236 -0.7144225 6.034452 135.26666666666668 174.43947135515708 0.0 565.0 1000.0 1000.0 1000.0 0.21760734049479166 -0.4157152 1.4561411 -0.006544682820638021 -0.5327719 1.8285679 0.0065446821972727776 0.012195532210171223 -0.0014589885249733925 -0.00965915061533451 0.7317973375320435 0.004038751125335693 80.0 0 0.9967957139015198 0.0003 0.5030120063706592 210000 786 875
8 2.3196253458658855 2.292052228455702 -1.4188285 9.47794 98.8 156.94189476788324 0.0 769.0 1000.0 1000.0 1000.0 0.22339637044270833 -0.7379841 1.5465634 -0.0032669169108072915 -0.6232843 1.522199 0.003266917774453759 0.01662549190223217 -0.0018818568205460906 -0.012917068786919117 0.7298110127449036 0.0038020049687474966 80.0 0 0.9958205819129944 0.0003 0.5020140024227473 240000 821 849
9 2.8523684183756512 2.740576394149225 -1.4216195 9.552614 96.73333333333333 116.93471290995387 0.0 390.0 1000.0 1000.0 1000.0 0.25447054036458333 -0.6573131 1.678081 0.0020474365234375 -0.5722826 1.2837155 -0.002047437010332942 0.017109844833612442 -0.0017953664064407349 -0.013510806486010551 0.7278212904930115 0.0035413384903222322 80.0 0 0.9979372620582581 0.0003 0.5010160076164407 270000 856 871
10 4.296581522623698 3.462233756028066 -0.1968929 11.903161 111.83333333333333 105.60558006879498 0.0 375.0 1000.0 1000.0 1000.0 0.34137643229166664 -0.8454224 1.6833969 0.013566754150390626 -0.60092586 1.8510406 -0.013566753827035427 0.02349310740828514 -0.00230263639241457 -0.01954934373497963 0.7258272767066956 0.003763135988265276 80.0 0 0.9981001019477844 0.0003 0.5000179999743863 300000 891 842
11 7.372338358561198 3.4021456661147744 0.06931794 15.0639305 62.53333333333333 73.38925188109405 0.0 290.0 1000.0 1000.0 1000.0 0.4653490559895833 -0.53857297 1.8167052 0.043697465006510415 -0.7132718 1.6024278 -0.04369746893644333 0.031938739120960236 -0.0028463825583457947 -0.026742689311504364 0.7238292098045349 0.003292208071798086 80.0 0 1.0006177425384521 0.0003 0.4990199874853069 330000 926 864
12 6.4566492716471355 3.003712031811985 0.8480474 13.84112 100.43333333333334 116.01743762613158 0.0 395.0 1000.0 1000.0 1000.0 0.4475374348958333 -0.6992047 2.0344803 0.03308354695638021 -0.93271345 1.709537 -0.03308354318141937 0.027614980936050415 -0.002398572862148285 -0.021690210327506065 0.7218275666236877 0.0031560719944536686 80.0 0 0.9997175931930542 0.0003 0.49802200780647804 360000 961 871
13 8.6192626953125 3.8364478243786513 1.0156991 16.170052 75.46666666666667 72.92861092648526 0.0 252.0 1000.0 1000.0 1000.0 0.5473047526041667 -0.35311428 1.8284101 0.04927310384114583 -0.57749933 1.7169834 -0.04927310347557068 0.031644437462091446 -0.0027026981115341187 -0.025941377505660057 0.7198216319084167 0.003108473727479577 80.0 0 1.0013017654418945 0.0003 0.4970240094664514 390000 995 878
