Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Values/C/Mean Values/C/Min Values/C/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Loss/Cost Loss/DeltaCost Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd LagrangeMultiplier TotalEnvSteps Time FPS
1 -0.40996698 0.57458764 -1.2402388 1.0774741 0.83385086 1.390366 0.0 5.510515 1000.0 1000.0 1000.0 0.17431758 0.017493092 0.2986679 2.4414062e-08 -3.6485155 3.989315 0.027896162 -0.37262303 0.34794062 -0.0074363295 0.0061001135 -0.0025151132 -0.0047408626 9.345153 -3.7189338 0.74363124 0.000833341 80.0 1 1.0001502 0.0003 0.508999994180536 0.0 30000 53 559
2 -0.062639676 2.3036463 -8.126753 4.0549445 5.538469 9.657032 0.0 39.925564 1000.0 1000.0 1000.0 -0.0028336039 -0.5994965 0.79171747 8.138021e-09 -3.478848 19.787416 -0.8857768 -16.29861 17.353327 -0.007416699 0.014803577 -0.02029259 -0.011571707 36.601074 -30.909664 0.7416687 0.02165803 50.0 1 1.0016824 0.00029939999999999996 0.5080020093473719 0.0 60000 91 792
3 1.2194729 2.44346 -4.67232 6.3746543 9.771166 14.797942 0.0 64.49569 1000.0 1000.0 1000.0 0.0113743665 -0.6528061 0.9019452 4.0690105e-09 -2.7263687 14.838588 2.2567616 -21.161942 26.33821 -0.007397026 0.024616463 -0.011477039 -0.018633734 38.847073 -35.642693 0.73970217 0.021019371 51.0 1 1.0067298 0.0002988 0.5070039867303798 0.0 90000 129 783
4 1.4288628 1.9599313 -2.287706 7.4318566 4.208425 6.2862444 0.0 29.905336 1000.0 1000.0 1000.0 0.07783305 -0.6580665 1.0648981 8.138021e-09 -4.367544 12.892977 5.8882527 -17.638971 32.10471 -0.007377321 0.016480763 -0.029455725 -0.013009618 20.732859 -17.984524 0.7377318 0.02148101 69.0 1 1.0093211 0.0002982 0.5060059945689283 0.0 120000 175 652
5 0.4121694 2.2095127 -5.0745945 5.7280245 4.479354 8.29817 0.0 39.674515 1000.0 1000.0 1000.0 0.023422962 -0.6027283 1.1320834 -4.0690105e-09 -5.38907 16.979185 2.8728156 -15.786933 24.878042 -0.007357575 0.01682219 -0.016494248 -0.012816982 19.001554 -16.744036 0.7357575 0.02048789 48.0 1 1.0001307 0.00029759999999999997 0.5050080103088117 0.0 150000 210 858
6 0.70837826 2.1970625 -5.556145 4.1560364 7.197831 11.733475 0.0 43.770493 1000.0 1000.0 1000.0 0.064996205 -0.6767962 1.3207767 -8.138021e-09 -5.7727275 18.165392 5.838896 -15.362664 27.299616 -0.0073377853 0.021891968 -0.019956147 -0.017351687 18.891897 -16.785908 0.73377925 0.020739987 39.0 1 0.9996668 0.00029699999999999996 0.504010011618452 0.0 180000 241 980
7 1.9539775 3.1187253 -4.9583697 8.292812 7.700927 9.724935 0.0 34.948322 1000.0 1000.0 1000.0 0.11089463 -0.5771877 1.4838973 4.0690105e-09 -3.951286 14.650661 6.5088844 -12.091213 30.801962 -0.0073179733 0.02485186 -0.018293269 -0.020296723 24.473194 -21.969677 0.7317974 0.017042741 80.0 1 1.003221 0.0002964 0.5030120063706592 0.0 210000 292 588
8 1.654874 2.4948692 -4.5375195 6.4856067 8.632889 10.073383 0.0 30.209337 1000.0 1000.0 1000.0 0.20581783 -0.84336233 1.4888829 4.0690105e-09 -5.049851 14.134984 7.173478 -7.054703 27.278715 -0.007298114 0.022012778 -0.038421575 -0.018247074 25.166346 -22.788992 0.729811 0.023390867 43.0 1 1.0109961 0.0002958 0.5020140024227473 0.0 240000 325 921
9 2.29013 2.9243062 -3.5457757 9.921243 7.073163 7.8960843 0.0 28.416767 1000.0 1000.0 1000.0 0.1473813 -0.95594335 1.9521216 2.0345052e-09 -5.1816697 14.131387 8.1052475 -6.009048 29.012936 -0.007278206 0.023004912 -0.0134912385 -0.018658226 23.02813 -20.14299 0.7278213 0.020376202 36.0 1 1.0034363 0.00029519999999999997 0.5010160076164407 0.0 270000 354 1019
10 5.3603053 3.261422 0.4110306 14.347202 5.351289 7.0012836 0.0 24.904856 1000.0 1000.0 1000.0 0.49614045 -0.77627885 2.0420747 5.086263e-09 -3.1062057 11.974634 9.177561 -6.9708133 32.426582 -0.0072582755 0.043364212 -0.03511505 -0.035758346 21.700535 -19.329208 0.7258273 0.024538495 63.0 1 1.0202147 0.00029459999999999995 0.5000179999743863 0.0 300000 397 705
11 4.8531775 2.764243 0.518699 10.20517 6.692071 9.109866 0.002088593 39.87495 1000.0 1000.0 1000.0 0.36098167 -0.7465399 2.1051812 -6.1035155e-09 -4.540329 12.819668 10.327031 -10.54422 31.957266 -0.0072382856 0.033166982 -0.56133336 -0.027128331 22.57092 -19.772942 0.7238292 0.02026743 42.0 1 1.2702963 0.000294 0.4990199874853069 0.0 330000 429 928
12 6.269099 3.7415104 0.524639 16.06411 6.5789404 9.516568 0.0 46.05966 1000.0 1000.0 1000.0 0.45866647 -0.63572097 1.9773968 -2.0345052e-09 -4.185747 10.977376 9.702748 -13.9861 30.428299 -0.007218277 0.047092404 -0.02414903 -0.039231762 22.637276 -19.714638 0.72182757 0.020396639 64.0 1 1.0065424 0.0002934 0.49802200780647804 0.0 360000 476 640
13 5.603762 4.658556 -0.25268087 19.952202 7.8518853 9.627255 0.0 43.445404 1000.0 1000.0 1000.0 0.45833683 -0.62011003 2.6084275 -2.5431315e-09 -4.502604 18.202946 10.259417 -5.963933 31.556335 -0.007198214 0.04678009 -0.12826957 -0.038820036 21.855091 -19.470932 0.71982163 0.021252403 29.0 1 1.0369424 0.00029279999999999996 0.4970240094664514 0.0 390000 503 1134
14 5.4249573 3.129724 -0.7087019 11.007764 5.426904 7.300951 0.0 27.76834 1000.0 1000.0 1000.0 0.49166864 -0.7302295 2.372641 3.0517577e-09 -4.327219 9.757141 9.270926 -7.475381 26.449104 -0.007178119 0.03768042 -0.016146027 -0.03135352 18.892994 -16.592031 0.7178115 0.0075604543 80.0 1 1.0020478 0.00029219999999999995 0.4960260005845061 0.0 420000 555 574
15 5.6658163 3.3926194 0.35107762 13.871424 5.3939157 6.724185 0.0071266918 25.735731 1000.0 1000.0 1000.0 0.54514885 -0.4739409 2.7092714 8.138021e-09 -4.6728034 12.524341 10.128581 -7.3758283 30.88167 -0.007157976 0.042846933 -0.026712626 -0.036159426 18.45221 -16.223232 0.7157975 0.021871677 39.0 1 1.0084469 0.0002916 0.4950279892637624 0.0 450000 586 962
16 6.4347987 4.7498546 -0.077416375 17.384111 6.480427 7.4848776 0.0 34.531353 1000.0 1000.0 1000.0 0.6492709 -0.72549033 2.3107085 6.1035155e-09 -5.0702267 11.6507015 9.96509 -4.149806 30.607176 -0.0071378015 0.05244818 -0.023809094 -0.045818456 21.870136 -19.404425 0.7137796 0.022600658 37.0 1 1.009132 0.00029099999999999997 0.49403001303756583 0.0 480000 616 994
17 7.4397736 3.4796777 1.4717834 16.314325 8.283643 7.7501206 0.22500779 26.906837 1000.0 1000.0 1000.0 0.68116426 -0.37454176 2.2999206 8.646647e-09 -5.349643 11.044495 11.233822 -4.9230967 29.938217 -0.0071175797 0.051234797 -0.01848815 -0.043195084 20.216896 -17.517975 0.7117573 0.0075077577 80.0 1 1.0045875 0.00029039999999999996 0.4930319916369756 0.0 510000 668 585
18 7.5664077 5.0816503 -0.11595406 18.803408 6.9607663 6.728231 0.0 27.80517 1000.0 1000.0 1000.0 0.70213675 -0.39237833 2.4616776 1.2207031e-08 -4.370141 12.615505 10.484151 -4.5220866 29.659344 -0.0070973076 0.060103968 -0.0132901985 -0.050749183 13.818188 -11.742302 0.709731 0.02077574 24.0 1 1.0059319 0.00028979999999999994 0.4920339921279806 0.0 540000 691 1276
19 9.518692 4.850631 1.5733969 21.107664 6.462006 7.195827 0.0013412834 28.165846 1000.0 1000.0 1000.0 0.7614059 -0.53339046 2.9370787 5.086263e-09 -4.540909 10.721238 9.244579 -4.1600127 26.76216 -0.007077009 0.07226557 -0.032602496 -0.060840037 15.707896 -13.741104 0.7077006 0.025020437 33.0 1 1.0074283 0.0002892 0.49103599328005176 0.0 570000 719 1079
20 8.227893 3.500301 1.2520745 15.096465 7.648394 8.825698 0.070325136 37.17023 1000.0 1000.0 1000.0 0.7890512 -0.5055464 3.6565363 4.0690105e-09 -7.441167 11.054617 10.731436 -4.740363 31.63881 -0.0070566665 0.066023365 -0.021453124 -0.054534223 19.94757 -17.704037 0.7056661 0.022294117 72.0 1 1.0130761 0.00028859999999999997 0.49003800329248687 0.0 600000 768 614
21 8.66832 5.1222005 -0.19821091 23.087635 7.9047766 6.4577193 0.20845152 23.347914 1000.0 1000.0 1000.0 0.81021047 -0.5169735 3.1408107 3.0517577e-09 -4.3051357 12.21795 10.430648 -3.0976422 34.555386 -0.007036276 0.06794826 -0.021149296 -0.057158682 19.734413 -17.488186 0.7036275 0.020305714 70.0 1 1.0103514 0.00028799999999999995 0.48904000119877045 0.0 630000 813 668
