Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Values/C/Mean Values/C/Min Values/C/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Loss/Cost Loss/DeltaCost Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd Misc/AcceptanceStep Misc/Alpha Misc/FinalStepNorm Misc/gradient_norm Misc/xHx Misc/H_inv_g Misc/cost_gradient_norm Misc/A Misc/B Misc/q Misc/r Misc/s Misc/Lambda_star Misc/Nu_star Misc/OptimCase TotalEnvSteps Time FPS
1 -0.5053402 0.5031304 -1.7036842 0.63080734 47.42857 53.557335 0.0 186.0 1000.0 1000.0 1000.0 0.17424926 -0.012216318 0.301981 0.24946293 -2.138441 2.3505867 0.028370326 -0.3802929 0.3513224 1.9557774e-08 0.0061724624 0.0 -0.0047491444 8.549385 -2.3082373 0.74363124 0.010487462 1.0 1 1.0 0.0003 0.508999994180536 12.0 1.9691724 0.089540504 0.19113743 0.005157767 0.1496271 0.10368147 1.0 1.0 0.005157767 0.00053847645 0.0025833442 1.0 1.0 1.0 30000 20 1494
2 0.080511056 1.0877236 -1.7476356 3.4964285 71.60714 87.24937 0.0 313.0 1000.0 1000.0 1000.0 0.14517494 0.015728958 0.30560723 0.17650568 -2.0725942 2.314474 1.3899318 -1.9145046 13.208002 -1.4901161e-08 0.0040252153 0.0 -0.0020483544 13.957666 -7.142288 0.7416687 0.0 1.0 1 1.0 0.0003 0.5080020093473719 0.0 1.4745768 0.0 0.08835433 0.009198027 0.24334167 0.06801085 1.0 1.0 0.009198027 0.0009573431 0.0016974995 1.0 1.0 1.0 60000 39 1562
3 0.14959116 0.74571764 -0.9997575 2.064267 65.0 107.45032 0.0 462.0 1000.0 1000.0 1000.0 0.10697812 -0.10703887 0.5788322 0.17387135 -2.0705993 2.2271848 2.319141 -3.9351885 20.371044 1.8626451e-09 0.0032870925 0.0 -0.0012608008 14.120726 -8.049213 0.73970217 0.0 1.0 1 1.0 0.0003 0.5070039867303798 0.0 1.1256187 0.0 0.12209783 0.015785094 0.3174017 0.05443882 1.0 1.0 0.015785094 0.0010081878 0.0019354076 1.0 1.0 1.0 90000 59 1487
4 0.0051141805 0.7242638 -1.3260026 2.011861 58.964287 90.43644 0.0 443.0 1000.0 1000.0 1000.0 0.099305205 -0.09772499 0.4248041 0.1782157 -2.2476382 2.164233 2.5865357 -6.152978 19.585377 3.7252903e-09 0.003666453 0.0 -0.0014431486 12.906411 -8.810546 0.7377318 0.0 1.0 1 1.0 0.0003 0.5060059945689283 0.0 1.0533493 0.0 0.11226977 0.018025402 0.34602755 0.068065204 1.0 1.0 0.018025402 0.0009815319 0.001971397 1.0 1.0 1.0 120000 78 1550
5 0.23303363 0.58925587 -0.9137477 1.6806387 24.571428 50.160763 0.0 244.0 1000.0 1000.0 1000.0 0.1080376 -0.1358853 0.58250356 0.17780651 -2.2241397 2.5126717 2.673835 -7.6020226 21.721087 6.519258e-09 0.0032553468 0.0 -0.0011580156 6.7973347 -4.8686247 0.7357575 0.013288155 1.0 1 1.0 0.0003 0.5050080103088117 5.0 1.0067365 0.050884508 0.10678074 0.019733228 0.35415882 0.077047795 1.0 1.0 0.019733228 0.0022436702 0.0020086959 1.0 1.0 1.0 150000 97 1581
6 0.096497975 0.7333407 -1.4696536 1.5570999 108.92857 78.57341 0.0 245.0 1000.0 1000.0 1000.0 0.07562775 -0.1813046 0.42301223 0.11067768 -2.0783198 2.0838504 3.573436 -6.109718 18.896614 1.4901161e-08 0.0045716045 0.0 -0.0025600952 21.221275 -14.676871 0.73377925 0.01200049 1.0 1 1.0 0.0003 0.504010011618452 10.0 1.5240401 0.5426721 0.05390952 0.008610666 0.23903647 0.11803866 1.0 1.0 0.008610666 -0.00041983882 0.0022406452 1.0 1.0 1.0 180000 117 1513
7 -0.17177735 1.0910276 -2.1165 2.4150696 112.5 132.71196 0.0 560.0 1000.0 1000.0 1000.0 0.043439355 -0.2720741 0.45554847 0.075752184 -2.3345733 2.2328255 4.009765 -6.8092723 25.839878 0.0 0.0029676836 0.0 -0.0012747621 22.942104 -18.783302 0.7317974 0.011919374 1.0 1 1.0 0.0003 0.5030120063706592 13.0 0.93928176 0.2790998 0.22987545 0.022669297 0.3445988 0.052634485 1.0 1.0 0.022669297 0.00052743324 0.0029169822 1.0 1.0 1.0 210000 137 1566
8 -0.43016836 0.97511727 -2.881958 1.4663669 22.607143 34.6661 0.0 105.0 1000.0 1000.0 1000.0 0.03307612 -0.425154 0.50904214 0.11460514 -2.2344244 2.3819494 3.4491296 -10.27545 24.813225 9.313226e-10 0.0033794732 0.0 -0.0017345184 5.8061695 -4.395068 0.729811 0.011963714 1.0 1 1.0 0.0003 0.5020140024227473 9.0 0.8696199 0.02763303 0.19414656 0.026446663 0.36701554 0.09969492 1.0 1.0 0.026446663 0.002702834 0.002737782 1.0 1.0 1.0 240000 156 1562
9 -0.22886276 1.1190774 -1.9297184 3.6054642 60.07143 68.79624 0.0 326.0 1000.0 1000.0 1000.0 0.03473382 -0.35371506 0.5137887 0.106972836 -2.3980713 2.1377413 4.3953905 -7.132233 30.601536 -3.7252903e-09 0.0028935762 0.0 -0.001489193 12.785707 -9.950243 0.7278213 0.0 1.0 1 1.0 0.0003 0.5010160076164407 0.0 1.0539144 0.0 0.10628369 0.018006075 0.32427996 0.1472216 1.0 1.0 0.018006075 0.0017983778 0.0039928965 1.0 1.0 1.0 270000 175 1571
10 -0.09160197 1.0304451 -1.6730657 1.8774813 76.82143 85.80712 0.0 334.0 1000.0 1000.0 1000.0 0.032693706 -0.30086425 0.6809275 0.12767233 -2.477507 2.3276129 4.95055 -3.3306255 27.273499 0.0 0.0031388868 0.0 -0.0015449515 17.92647 -14.991977 0.7258273 0.0086293 1.0 1 1.0 0.0003 0.5000179999743863 10.0 0.98880535 0.2652162 0.16329612 0.020455409 0.34322792 0.09701049 1.0 1.0 0.020455409 0.0014158149 0.0034815236 1.0 1.0 1.0 300000 195 1507
11 -0.3379514 1.0696615 -2.4262917 1.9500395 35.535713 48.630882 0.0 185.0 1000.0 1000.0 1000.0 0.032532126 -0.3848955 0.5950698 0.08585779 -2.1478379 2.2240794 4.017767 -9.246688 26.980677 5.5879354e-09 0.0048687123 0.0 -0.0028283736 8.132077 -6.3867416 0.7238292 0.009715889 1.0 1 1.0 0.0003 0.4990199874853069 10.0 1.1738589 0.059859823 0.14763756 0.0145143615 0.27857646 0.11467232 1.0 1.0 0.0145143615 0.0007486344 0.0034969526 1.0 1.0 1.0 330000 214 1553
12 -0.6153615 1.0642062 -2.1328228 2.1167266 43.964287 63.624725 0.0 300.0 1000.0 1000.0 1000.0 0.017445303 -0.43701848 0.86007935 0.15595868 -2.2661402 2.5535057 3.565326 -5.955905 28.497778 0.0 0.007942777 0.0 -0.005720945 8.630994 -6.604184 0.72182757 0.012275629 1.0 1 1.0 0.0003 0.49802200780647804 5.0 1.1993546 0.3280424 0.105741195 0.013903828 0.27670816 0.11601333 1.0 1.0 0.013903828 0.0008373598 0.0026862659 1.0 1.0 1.0 360000 234 1548
13 -0.17215052 1.6704849 -2.4524183 5.8075747 47.607143 63.288082 0.0 292.0 1000.0 1000.0 1000.0 0.00033373514 -0.5623174 1.5116853 0.13698457 -2.1459723 2.2513194 4.4779854 -6.8233633 29.476692 7.450581e-09 0.00659428 0.0 -0.004052352 9.317585 -7.254427 0.71982163 0.013649781 1.0 1 1.0 0.0003 0.4970240094664514 9.0 1.2243948 0.1409718 0.12654255 0.013340948 0.25453848 0.12699315 1.0 1.0 0.013340948 -8.57414e-05 0.0034033798 1.0 1.0 1.0 390000 253 1562
14 0.14908035 1.6177576 -2.4232771 3.7965143 54.57143 72.110245 0.0 255.0 1000.0 1000.0 1000.0 0.007949667 -0.64915293 1.6710248 0.15509629 -2.168522 2.2831397 3.7037983 -5.4132223 24.60448 0.0 0.0086095445 0.0 -0.0050773844 11.228992 -9.227882 0.7178115 0.011935145 1.0 1 1.0 0.0003 0.4960260005845061 10.0 1.2410773 0.16880946 0.14103323 0.012984702 0.2481183 0.074027024 1.0 1.0 0.012984702 0.0015177204 0.0034649228 1.0 1.0 1.0 420000 272 1580
15 -0.67563874 1.1066034 -2.4401846 1.6116275 13.75 25.351282 0.0 93.0 1000.0 1000.0 1000.0 -0.029421749 -0.5587665 0.958405 0.21874854 -2.2301497 2.1185837 2.7438788 -4.8135176 22.073105 6.0535967e-09 0.005322663 0.0 -0.0035196166 4.051866 -3.3604941 0.7157975 0.012876111 1.0 1 1.0 0.0003 0.4950279892637624 8.0 1.0413455 0.028041977 0.12901433 0.018443363 0.27849737 0.15967847 1.0 1.0 0.018443363 0.0020572012 0.0035705653 1.0 1.0 1.0 450000 292 1523
16 -0.10327787 2.1720586 -3.2899606 7.752236 31.892857 40.334618 0.0 129.0 1000.0 1000.0 1000.0 -0.016710227 -0.51492274 0.970644 0.34103203 -2.07033 2.245604 3.3131504 -6.103298 29.940464 -1.3969839e-08 0.012593584 0.0 -0.009864053 6.7160435 -5.629741 0.7137796 0.012299112 1.0 1 1.0 0.0003 0.49403001303756583 6.0 1.5947108 0.12201548 0.075819 0.007864399 0.18240783 0.05505725 1.0 1.0 0.007864399 0.001351028 0.0029525217 1.0 1.0 1.0 480000 311 1572
