Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Values/C/Mean Values/C/Min Values/C/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Loss/Cost Loss/DeltaCost Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd Misc/AcceptanceStep Misc/Alpha Misc/FinalStepNorm Misc/gradient_norm Misc/xHx Misc/H_inv_g Misc/cost_gradient_norm Misc/A Misc/B Misc/q Misc/r Misc/s Misc/Lambda_star Misc/Nu_star Misc/OptimCase TotalEnvSteps Time FPS
1 -0.019498799 0.9278452 -1.3140365 2.4014559 26.821428 55.756523 0.0 208.0 1000.0 1000.0 1000.0 0.16614234 -0.091581985 0.35727853 0.15789908 -2.4363225 2.540921 0.16721018 -0.25484335 0.4891817 -1.0244548e-08 0.011733026 0.0 -0.009065059 6.1311426 -1.413877 0.74363124 0.0052011563 1.0 2 1.0 0.0003 0.508999994180536 1.0 2.5094993 0.2866088 0.131571 0.0031758097 0.116741866 0.08261027 0.0031658653 0.01818264 0.0031758097 0.00013473537 0.001825507 0.41727057 0.3425293 1.0 30000 18 1665
2 0.47856325 0.8693575 -2.2210643 2.2217288 90.0 101.89069 0.0 361.0 1000.0 1000.0 1000.0 0.15126152 0.01922115 0.28303772 0.14267597 -2.5719213 2.342144 0.96630436 -0.7316843 13.9144335 3.0267984e-08 0.0043261214 0.0 -0.002502496 19.118563 -6.8964434 0.7416687 0.0039649196 1.0 2 1.0 0.0003 0.5080020093473719 1.0 1.7101917 0.3505682 0.09884152 0.0068381676 0.2088626 0.057940774 0.006674504 -2.552204 0.0068381676 0.00051848544 0.0016425604 0.0 3.489418 0.0 60000 35 1697
3 0.76154476 1.5199071 -1.2024015 4.4264555 59.714287 90.85933 0.0 319.0 1000.0 1000.0 1000.0 0.13199018 -0.1005512 0.5016651 0.08924942 -2.1716843 2.3737493 2.2094743 -3.4182034 17.055021 1.1175871e-08 0.0069768997 0.0 -0.0032131332 14.18129 -7.1417217 0.73970217 0.0060094753 1.0 2 1.0 0.0003 0.5070039867303798 1.0 1.8447136 0.31152698 0.13811487 0.0058772126 0.19168074 0.09393251 0.005839496 -0.6833383 0.0058772126 -0.00025421038 0.0017133744 0.0 3.4165485 0.0 90000 53 1707
4 0.18743515 1.3397406 -2.9820137 3.161858 41.357143 65.76213 0.0 302.0 1000.0 1000.0 1000.0 0.102899015 -0.23600334 0.6992946 0.012625503 -2.2372901 2.5517738 1.9558495 -4.615794 23.883215 -1.6763806e-08 0.005359021 0.0 -0.0028912877 8.346392 -4.5524426 0.7377318 0.005527191 1.0 2 1.0 0.0003 0.5060059945689283 1.0 1.447216 0.3219682 0.21960482 0.009549107 0.22632591 0.075870305 0.009548719 -0.10803583 0.009549107 2.8488226e-05 0.0020896974 0.0 3.0936577 0.0 120000 71 1700
5 -1.0260191 1.4231887 -3.869517 1.4003326 36.67857 51.077007 0.0 204.0 1000.0 1000.0 1000.0 0.054794792 -0.3075789 0.6720844 -0.040883925 -2.5416865 2.2304153 1.14275 -4.3788004 20.924782 -4.1909516e-09 0.004320075 0.0 -0.0023483683 7.1631365 -5.2942734 0.7357575 0.0043132524 1.0 2 1.0 0.0003 0.5050080103088117 1.0 1.1243094 0.32212138 0.51205933 0.01582188 0.23898701 0.054288212 0.015585288 -0.05405609 0.01582188 0.0006600984 0.0018416984 0.0 3.2953727 0.0 150000 88 1701
6 -1.5059643 1.853353 -4.8037667 2.745044 15.464286 25.497175 0.0 99.0 1000.0 1000.0 1000.0 0.034764886 -0.41472387 0.8565683 -0.04191248 -2.1994653 2.1107736 1.2543143 -4.984668 23.546185 3.1664968e-08 0.0045672897 0.0 -0.0026087253 3.6772678 -2.6276364 0.73377925 0.0065995064 1.0 2 1.0 0.0003 0.504010011618452 1.0 1.0634735 0.23499066 0.6007334 0.017683834 0.220965 0.068632916 0.017392166 -0.027719036 0.017683834 0.00074550614 0.0019055258 0.94031495 0.0 3.0 180000 106 1705
7 0.46953496 1.376574 -2.9190884 3.5001535 29.464285 63.25317 0.0 233.0 1000.0 1000.0 1000.0 0.04621717 -0.49965313 0.90675586 0.058245443 -2.3512168 2.315984 3.3638453 -7.4028344 21.309471 -3.7252903e-09 0.004887029 0.0 -0.0013744307 7.713965 -6.065468 0.7317974 0.0049652676 1.0 2 1.0 0.0003 0.5030120063706592 1.0 1.0226778 0.27262235 0.33832774 0.019122826 0.29710424 0.14281724 0.018837167 0.012976892 0.019122826 0.0009003511 0.0028377527 1.2048208 1.5781137 1.0 210000 124 1694
8 1.6723974 0.87827164 -0.39125857 3.4756298 49.92857 57.517654 0.0 214.0 1000.0 1000.0 1000.0 0.07831771 -0.50471497 1.1431122 0.07762915 -2.3551958 2.4159715 3.8362758 -8.276231 22.300367 1.0244548e-08 0.0054877587 0.0 -0.002139809 9.879306 -6.9469814 0.729811 0.0054655857 1.0 2 1.0 0.0003 0.5020140024227473 1.0 0.9051836 0.3002866 0.4909226 0.024409365 0.27347106 0.14111611 0.021757778 -0.15450118 0.024409365 0.0030729193 0.0035612 0.0 2.3698246 0.0 240000 141 1694
9 0.87658775 1.9345726 -2.2656515 5.960418 48.07143 84.71293 0.0 388.0 1000.0 1000.0 1000.0 0.07842735 -0.4511924 1.0279386 0.06532488 -2.4536896 2.271233 2.7161465 -5.1911154 18.459742 -3.7252903e-09 0.005108891 0.0 -0.0018931766 10.707365 -8.340869 0.7278213 0.007449462 1.0 2 1.0 0.0003 0.5010160076164407 1.0 1.0258375 0.2888685 0.46318135 0.019005205 0.26714787 0.110650264 0.018480094 -0.16407876 0.019005205 0.001232248 0.0028916476 0.0 2.629914 0.0 270000 159 1700
10 0.056821533 2.090314 -4.3012686 5.8522468 22.178572 52.08582 0.0 247.0 1000.0 1000.0 1000.0 0.003149068 -0.4078961 1.0024414 -0.0008768595 -2.3160641 2.269383 1.8413967 -5.1389976 29.661839 -1.8626451e-09 0.0058734026 0.0 -0.0028312234 5.431885 -4.234245 0.7258273 0.008616429 1.0 2 1.0 0.0003 0.5000179999743863 1.0 1.0344312 0.256486 0.5800161 0.018690744 0.24794888 0.061690487 0.018686844 0.017010216 0.018690744 0.00010190962 0.0026625535 0.9667147 0.0 2.0 300000 177 1694
11 1.2802244 1.9121569 -0.87690717 8.166297 58.92857 92.60937 0.0 327.0 1000.0 1000.0 1000.0 0.0039670276 -0.4798733 1.0633237 0.073041946 -2.7398806 2.802448 2.483154 -7.4685497 25.410831 -1.3038516e-08 0.006273438 0.0 -0.0032174876 14.3693695 -11.076208 0.7238292 0.006225071 1.0 2 1.0 0.0003 0.4990199874853069 1.0 1.0930623 0.28990823 0.31811714 0.016739402 0.2715004 0.06057711 0.016655806 -0.36087278 0.016739402 0.0005026518 0.0030223948 0.0 2.572401 0.0 330000 195 1674
