Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Values/C/Mean Values/C/Min Values/C/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Loss/Cost Loss/DeltaCost Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd LagrangeMultiplier TotalEnvSteps Time FPS
1 -4.1552815 1.5343233 -7.135192 -0.9553645 11.464286 23.725336 0.0 106.0 1000.0 1000.0 1000.0 0.15440133 -0.17988133 0.45193675 -1.4241537e-08 -2.805855 8.090989 -0.21077241 -0.48016936 0.15555157 1.3969839e-08 0.035592042 -0.004671483 -0.032180104 2.518559 -1.1024618 0.74363124 0.0023117438 80.0 0 1.0009538 0.0003 0.508999994180536 0.0 30000 12 2468
2 -3.239257 1.4765033 -6.3063173 -0.5973857 12.0 22.507141 0.0 84.0 1000.0 1000.0 1000.0 0.060048148 -0.08965369 0.35348862 4.781087e-08 -3.9347467 18.383877 0.069367744 -0.81788063 12.996907 -4.5169145e-08 0.0070365127 -0.017715763 -0.0052974457 2.1473353 -1.0961068 0.7416687 0.0059972107 80.0 0 0.9992826 0.00029939999999999996 0.5080020093473719 0.0 60000 25 2335
3 0.027282769 1.162002 -2.150686 2.2032597 65.82143 94.32658 0.0 351.0 1000.0 1000.0 1000.0 0.053738747 -0.18503532 0.44121772 0.0 -2.8680763 17.384388 1.1132927 -2.4230454 15.43525 -2.7939677e-09 0.004170183 -0.017660836 -0.0017965164 14.552989 -9.263859 0.73970217 0.0065866895 80.0 0 1.0008663 0.0002988 0.5070039867303798 0.009037123061716557 90000 38 2233
4 0.52635133 0.9550532 -1.0447594 2.5693688 89.46429 107.31379 0.0 415.0 1000.0 1000.0 1000.0 0.058038585 -0.29377067 0.6263856 -1.0172526e-09 -4.310227 19.622961 3.912564 -7.093261 22.256489 -2.7939677e-09 0.0032846597 -0.01848657 -0.001467004 22.475283 -13.457313 0.7377318 0.0063796737 80.0 0 0.99965084 0.0002982 0.5060059945689283 0.029958084225654602 120000 52 2206
5 2.1550395 1.4807253 -0.34952322 7.2507296 115.10714 130.12175 0.0 486.0 1000.0 1000.0 1000.0 0.13186347 -0.35357448 0.86580074 4.0690105e-09 -3.1980011 14.319166 4.908398 -7.5124073 25.171234 -5.5879354e-09 0.007192034 -0.012985142 -0.002970342 27.945847 -19.292513 0.7357575 0.005117443 80.0 0 0.9992913 0.00029759999999999997 0.5050080103088117 0.05596914887428284 150000 65 2206
6 4.787355 2.4198906 -0.4554313 9.698854 119.35714 76.13954 0.0 304.0 1000.0 1000.0 1000.0 0.260207 -0.4176598 1.0784342 5.086263e-10 -2.8420434 12.1165285 5.120822 -10.302354 25.049898 3.259629e-09 0.013651852 -0.010513455 -0.005872728 25.73338 -16.34249 0.73377925 0.004122367 80.0 0 1.0001662 0.00029699999999999996 0.504010011618452 0.08488834649324417 180000 77 2518
7 6.950724 1.5046281 3.8004587 10.153092 89.71429 55.618504 0.0 240.0 1000.0 1000.0 1000.0 0.31680268 -0.26644203 1.1954622 2.0345052e-09 -2.9670937 12.4809 5.419764 -13.366164 24.635557 1.8626451e-09 0.019581143 -0.009702396 -0.008791937 17.885162 -11.21981 0.7317974 0.003934823 80.0 0 0.9992044 0.0002964 0.5030120063706592 0.1150655597448349 210000 91 2229
8 8.176092 1.8573371 4.7679152 11.812518 63.07143 50.421036 0.0 191.0 1000.0 1000.0 1000.0 0.41987914 -0.4062468 1.3118639 -1.6276042e-08 -4.6171246 13.856498 5.0707645 -7.0613747 22.794012 1.4901161e-08 0.020712825 -0.009863455 -0.010293082 12.474889 -7.754577 0.729811 0.0038337833 80.0 0 0.9998963 0.0002958 0.5020140024227473 0.14488480985164642 240000 104 2205
9 8.912148 2.5401247 1.4267403 12.853933 81.35714 95.173225 0.0 501.0 1000.0 1000.0 1000.0 0.4864011 -0.2923769 1.5117142 -2.4414062e-08 -5.352428 9.897507 5.830034 -10.700806 26.172327 2.8871e-08 0.01900392 -0.009515874 -0.010806808 14.322114 -9.189588 0.7278213 0.0033079202 80.0 0 1.0007575 0.00029519999999999997 0.5010160076164407 0.1754014790058136 270000 118 2212
10 11.563296 2.472158 6.534604 16.251486 49.642857 34.10615 0.0 111.0 1000.0 1000.0 1000.0 0.6415699 -0.22204995 1.6619304 8.138021e-09 -5.0634503 12.361616 6.2341 -6.7959723 26.888168 -7.450581e-09 0.024050204 -0.009013779 -0.013403768 9.353696 -5.7967567 0.7258273 0.0033789098 80.0 0 1.0005456 0.00029459999999999995 0.5000179999743863 0.2046993523836136 300000 131 2255
11 12.449016 2.8117113 7.296935 17.391735 62.285713 56.27348 0.0 227.0 1000.0 1000.0 1000.0 0.75600314 -0.22420691 1.8137999 -2.339681e-08 -5.3198137 12.843745 5.651124 -5.8683653 21.345673 2.4214387e-08 0.024167089 -0.008331086 -0.01407977 9.222628 -5.8214407 0.7238292 0.0031607854 80.0 0 0.9993927 0.000294 0.4990199874853069 0.2338310033082962 330000 144 2385
12 14.579897 2.565475 7.0838575 19.203495 50.67857 40.505775 0.0 190.0 1000.0 1000.0 1000.0 0.8778431 -0.28780517 1.8717208 -7.120768e-08 -5.2755632 11.653944 5.663569 -5.170331 21.333227 5.8673322e-08 0.025170311 -0.007856669 -0.015398357 7.123639 -4.3308196 0.72182757 0.003131051 80.0 0 0.999501 0.0002934 0.49802200780647804 0.2621031701564789 360000 157 2226
13 14.415179 4.318514 0.7531351 20.48724 50.57143 42.903904 0.0 165.0 1000.0 1000.0 1000.0 0.9634846 -0.36271924 2.0432167 0.0 -5.8112807 13.809093 5.6269546 -7.0654078 25.269693 3.7252903e-09 0.021938719 -0.00686226 -0.012835326 7.2531233 -4.249553 0.71982163 0.0029605497 80.0 0 0.9992399 0.00029279999999999996 0.4970240094664514 0.2896549701690674 390000 171 2205
14 16.290918 2.747366 9.819077 20.68051 40.357143 29.0544 0.0 103.0 1000.0 1000.0 1000.0 1.1110383 -0.25042155 2.2768 2.6448568e-08 -8.232239 8.915061 5.385 -5.8775477 23.567484 -1.6763806e-08 0.022589704 -0.0067110457 -0.013149099 6.0125055 -3.380127 0.7178115 0.0032554707 80.0 0 1.0004071 0.00029219999999999995 0.4960260005845061 0.31584614515304565 420000 185 2200
15 18.38933 2.489641 13.478055 23.110462 58.535713 35.239468 0.0 127.0 1000.0 1000.0 1000.0 1.2668526 -0.088452734 2.1297042 1.4241537e-08 -6.654296 9.961439 5.0154376 -3.6576726 20.660324 -1.1175871e-08 0.023363717 -0.0073441966 -0.014333063 6.3734345 -3.6206257 0.7157975 0.0032401828 80.0 0 0.9985142 0.0002916 0.4950279892637624 0.34217026829719543 450000 197 2429
16 17.910818 1.8295455 12.972965 20.470194 66.89286 41.662193 0.0 158.0 1000.0 1000.0 1000.0 1.3630689 -0.11535356 2.4379606 3.967285e-08 -7.565189 9.367717 5.724625 -4.263536 18.931711 -2.7474016e-08 0.020623583 -0.007204837 -0.012120629 7.863201 -4.6642103 0.7137796 0.0034403526 80.0 0 0.9985495 0.00029099999999999997 0.49403001303756583 0.3691451847553253 480000 210 2313
17 20.031626 2.0527878 15.009881 24.879166 47.17857 32.96866 0.0 115.0 1000.0 1000.0 1000.0 1.4998906 0.07912437 2.4972997 -3.2552084e-08 -7.2482505 11.937158 5.354927 -2.328499 22.241985 2.6077032e-08 0.022499448 -0.006501863 -0.013378994 5.6668816 -3.411003 0.7117573 0.0032472608 80.0 0 0.9988587 0.00029039999999999996 0.4930319916369756 0.39541134238243103 510000 224 2191
18 20.260805 2.2615237 13.464578 23.816193 56.107143 35.778423 0.0 137.0 1000.0 1000.0 1000.0 1.5826286 0.02122519 2.6821654 6.713867e-08 -9.7117195 14.028702 5.6804833 -2.0066032 20.563274 -5.1688403e-08 0.021496972 -0.006551996 -0.01169373 5.956193 -3.3368096 0.709731 0.0033722583 80.0 0 0.9995436 0.00028979999999999994 0.4920339921279806 0.4216945171356201 540000 237 2212
19 20.649961 2.527106 12.019556 23.548014 51.214287 35.078846 0.0 141.0 1000.0 1000.0 1000.0 1.6584331 -0.05604438 2.5785923 4.0690105e-09 -9.341287 10.138155 5.363422 -2.7139006 23.418348 -6.519258e-09 0.018866925 -0.0065265233 -0.010841077 5.3056793 -2.835444 0.7077006 0.0033516681 80.0 0 0.9990912 0.0002892 0.49103599328005176 0.44767439365386963 570000 251 2205
20 20.573164 1.8250843 15.646556 23.84674 52.25 33.75185 0.0 141.0 1000.0 1000.0 1000.0 1.7096728 -0.073112994 2.600678 2.0345052e-09 -7.833592 11.22633 5.583114 -2.3165176 22.523863 -2.3283064e-09 0.018641409 -0.0066730734 -0.010135386 5.364646 -3.07125 0.7056661 0.0032925173 80.0 0 0.99931455 0.00028859999999999997 0.49003800329248687 0.4734765887260437 600000 263 2502
21 22.115187 1.6283435 18.049532 25.472336 42.07143 35.252083 0.0 121.0 1000.0 1000.0 1000.0 1.8238213 0.23153812 2.6922712 1.6276042e-08 -9.207787 9.212302 5.5639133 -1.5867372 21.53104 -1.1175871e-08 0.016955078 -0.006947322 -0.009381228 4.1024933 -2.2989993 0.7036275 0.0037330333 80.0 0 0.99963814 0.00028799999999999995 0.48904000119877045 0.49837902188301086 630000 277 2169
22 22.03808 1.9924494 15.4005575 24.781693 57.392857 37.733406 0.0 146.0 1000.0 1000.0 1000.0 1.8738191 0.26346338 2.9363604 -2.0345052e-08 -8.397634 12.808478 5.8160095 -1.7472484 21.760803 4.656613e-09 0.017292256 -0.006414507 -0.008746512 5.2952437 -3.15035 0.7015848 0.003420848 80.0 0 0.9997737 0.00028739999999999994 0.48804199534303844 0.5236217975616455 660000 291 2179
23 22.004974 1.7838842 17.36014 24.919798 37.107143 31.945646 0.0 132.0 1000.0 1000.0 1000.0 1.9525222 -0.06711575 3.0558825 -1.93278e-08 -11.958463 8.464818 5.314994 -1.0934279 20.531143 1.5366822e-08 0.0149350185 -0.006073429 -0.0075134076 3.7411294 -2.154035 0.6995376 0.0033841354 80.0 0 0.9993599 0.0002868 0.4870439940524629 0.5476453304290771 690000 305 2197
24 22.40444 1.3082072 19.17671 24.761818 44.642857 33.868668 0.0 134.0 1000.0 1000.0 1000.0 1.9871358 0.2698687 3.173216 1.4241537e-08 -8.202643 10.911713 5.466689 -4.504684 22.056906 -1.1175871e-08 0.015487903 -0.005926252 -0.007503037 4.1475697 -2.2956712 0.6974865 0.0033467514 80.0 0 0.99788094 0.00028619999999999996 0.48604600563714795 0.5711893439292908 720000 317 2412
25 22.998508 1.5170187 19.321022 25.288393 52.0 37.426117 0.0 166.0 1000.0 1000.0 1000.0 2.050284 0.5486209 3.2445374 1.525879e-08 -8.27172 10.75218 5.3652143 -1.0544873 21.345467 -8.8475645e-09 0.016160859 -0.00598827 -0.008157181 4.5623064 -2.448414 0.69543105 0.0035204948 80.0 0 0.99933 0.00028559999999999995 0.48504800947891086 0.5948877334594727 750000 330 2318
26 22.50925 1.7248378 18.294615 25.618578 35.642857 34.028576 0.0 115.0 1000.0 1000.0 1000.0 2.073344 0.2233466 3.274852 -8.138021e-09 -8.836898 9.077989 5.3324146 -0.22817808 24.565357 4.656613e-09 0.013398943 -0.0062758094 -0.0063542225 4.0139103 -2.3298936 0.6933714 0.0031407112 80.0 0 0.99986446 0.000285 0.4840500140318596 0.6174187064170837 780000 344 2184
27 23.551922 1.3778161 20.439396 25.728872 48.357143 35.950573 0.0 165.0 1000.0 1000.0 1000.0 2.1534765 0.3843987 3.1458752 -1.93278e-08 -9.309938 10.991351 5.259597 -0.97179234 20.102425 1.4901161e-08 0.013169638 -0.00597759 -0.006353236 4.421772 -2.390222 0.69130737 0.0033175847 80.0 0 0.99847126 0.0002844 0.4830519989405728 0.6399592757225037 810000 356 2450
28 23.812412 1.2939601 21.205738 26.776354 55.42857 50.147945 0.0 189.0 1000.0 1000.0 1000.0 2.225212 0.21357448 3.5146637 -9.6639e-09 -15.0019655 11.8545265 5.2112384 -2.4117606 20.351292 5.5879354e-09 0.013460869 -0.0055809286 -0.0067537874 4.639667 -2.6596308 0.6892395 0.0033376866 80.0 0 0.99964327 0.00028379999999999996 0.48205400153539285 0.6630770564079285 840000 369 2236
29 24.030033 1.47727 20.461618 26.706854 55.07143 34.735664 0.0 109.0 1000.0 1000.0 1000.0 2.2669568 0.48942718 3.320116 8.138021e-09 -7.4133506 9.314862 5.3662467 -0.56411445 23.158607 -4.656613e-09 0.012958456 -0.0064225392 -0.006082221 4.4384785 -2.377647 0.6871671 0.0038236892 80.0 0 0.9993125 0.00028319999999999994 0.4810560015447731 0.6866981387138367 870000 383 2183
