Epoch EpRet/Mean EpRet/Std EpRet/Min EpRet/Max EpCosts/Mean EpCosts/Std EpCosts/Min EpCosts/Max EpLen/Mean EpLen/Min EpLen/Max Values/V/Mean Values/V/Min Values/V/Max Values/Adv/Mean Values/Adv/Min Values/Adv/Max Loss/Pi Loss/Value Loss/DeltaPi Loss/DeltaValue Entropy KL Misc/StopIter Misc/Seed PolicyRatio LR Misc/ExplorationNoiseStd TotalEnvSteps Time FPS
1 -0.738604 1.6328471 -5.1069584 3.2018037 50.5 48.108135 0.0 187.0 1000.0 1000.0 1000.0 0.101061895 -0.08838664 0.32291728 -0.027499447 -0.4313728 1.1412978 0.027499449 0.01940689 -0.0008199271 -0.015253376 0.74363124 0.0020166975 80.0 1 0.9987237 0.0003 0.508999994180536 30000 8 3396
2 0.19300969 1.5788643 -3.1703537 2.5807216 98.46429 142.65805 0.0 675.0 1000.0 1000.0 1000.0 0.19423176 -1.2215757 1.6562608 -0.028241243 -0.7416648 0.87593 0.028241243 0.027354043 -0.002325356 -0.024237426 0.7416687 0.0038112293 80.0 1 0.99426603 0.0003 0.5080020093473719 60000 17 3352
3 1.5943092 1.8635345 -1.9372704 6.411073 66.10714 117.79199 0.0 559.0 1000.0 1000.0 1000.0 0.33581993 -1.1541282 1.5300757 -0.023782464 -0.74401265 1.8725268 0.023782466 0.018137543 -0.0015983975 -0.015025757 0.73970217 0.0041059987 80.0 1 0.99701536 0.0003 0.5070039867303798 90000 26 3391
4 1.4183971 1.3644216 -1.1642716 4.038885 64.39286 83.24162 0.0 308.0 1000.0 1000.0 1000.0 0.25649709 -0.7088553 1.337131 -0.015581433 -0.4496019 1.0514398 0.015581433 0.01190651 -0.0014979001 -0.009916653 0.7377318 0.0043878118 80.0 1 0.9956231 0.0003 0.5060059945689283 120000 35 3397
5 2.0989988 1.886561 -0.42870733 5.958028 96.82143 145.64291 0.0 706.0 1000.0 1000.0 1000.0 0.30629122 -0.56545854 1.180964 -0.013079361 -0.34501326 1.4764321 0.013079361 0.009558215 -0.001159091 -0.007964331 0.7357575 0.0035503698 80.0 1 0.9975508 0.0003 0.5050080103088117 150000 44 3401
6 3.0247242 2.4362235 -0.92459965 9.607528 215.28572 270.41183 0.0 933.0 1000.0 1000.0 1000.0 0.3365353 -0.40912047 1.1806941 -0.0037769477 -0.44941047 0.9660759 0.003776947 0.0103722885 -0.0013136892 -0.008039981 0.73377925 0.0039343075 80.0 1 0.99643576 0.0003 0.504010011618452 180000 53 3393
7 3.1975186 2.7176495 -1.043998 9.128789 74.32143 116.547676 0.0 466.0 1000.0 1000.0 1000.0 0.27248204 -0.35503307 1.316984 0.006998267 -0.5103138 1.1912242 -0.0069982675 0.009067648 -0.001217298 -0.0068796445 0.7317974 0.003493993 80.0 1 0.999509 0.0003 0.5030120063706592 210000 61 3416
8 3.576208 2.9711807 -0.36548 10.850456 122.21429 170.50687 0.0 495.0 1000.0 1000.0 1000.0 0.2887932 -0.40505582 1.2150433 0.013158468 -0.2641553 1.1476333 -0.013158467 0.010106858 -0.0014149826 -0.00767659 0.729811 0.0039748643 80.0 1 0.9980489 0.0003 0.5020140024227473 240000 70 3379
9 5.359678 3.2564175 -0.7448386 11.616364 107.25 149.8136 0.0 654.0 1000.0 1000.0 1000.0 0.36671242 -0.401832 1.2890217 0.029120378 -0.29250067 1.2893507 -0.029120378 0.013011415 -0.0017561091 -0.010119199 0.7278213 0.0038378164 80.0 1 0.9996412 0.0003 0.5010160076164407 270000 79 3401
10 6.684259 3.2701783 -0.4045597 13.450364 105.25 151.50804 0.0 757.0 1000.0 1000.0 1000.0 0.41670203 -0.27168542 1.4091619 0.039883073 -0.38955855 1.2093581 -0.03988307 0.013916525 -0.0014402815 -0.010545829 0.7258273 0.0031848727 80.0 1 1.000172 0.0003 0.5000179999743863 300000 88 3382
11 8.328299 2.8408818 1.193401 13.530349 65.78571 77.9562 0.0 260.0 1000.0 1000.0 1000.0 0.5224239 -0.29582617 1.5715907 0.057992272 -0.5234415 1.0743192 -0.057992276 0.017275255 -0.0016608657 -0.013770518 0.7238292 0.0031119192 80.0 1 1.0004944 0.0003 0.4990199874853069 330000 97 3391
12 10.051614 2.4769497 4.9740663 13.187861 70.71429 65.080635 0.0 212.0 1000.0 1000.0 1000.0 0.584555 -0.28089568 1.7853129 0.06923513 -0.6605524 1.1826655 -0.06923513 0.018487195 -0.0019084252 -0.014819466 0.72182757 0.0029921953 80.0 1 1.0019523 0.0003 0.49802200780647804 360000 107 2929
13 11.15772 2.7223577 2.4822557 15.571131 61.785713 61.503983 0.0 287.0 1000.0 1000.0 1000.0 0.69082737 -0.37111223 1.8206849 0.076097235 -0.564152 1.2547815 -0.07609724 0.020665789 -0.0020918734 -0.016715255 0.71982163 0.002924346 80.0 1 1.0047607 0.0003 0.4970240094664514 390000 118 2705
14 12.544792 2.480104 8.027504 17.235052 59.42857 64.23474 0.0 267.0 1000.0 1000.0 1000.0 0.77868354 -0.35349542 1.9073 0.08368578 -0.74906826 1.2053889 -0.08368577 0.023370748 -0.0020970479 -0.018992554 0.7178115 0.002669208 80.0 1 1.004193 0.0003 0.4960260005845061 420000 130 2645
15 13.168837 2.2949 7.615563 16.323074 70.07143 54.271755 0.0 237.0 1000.0 1000.0 1000.0 0.848559 -0.36167714 1.8245348 0.08282641 -0.617157 1.0730424 -0.08282641 0.021378838 -0.0020703971 -0.017588317 0.7157975 0.002630141 80.0 1 1.0051371 0.0003 0.4950279892637624 450000 141 2700
16 14.526472 2.6964405 3.9015176 18.511364 48.17857 48.17902 0.0 199.0 1000.0 1000.0 1000.0 0.95093346 -0.24426122 1.8949454 0.0856663 -0.7081279 1.0801861 -0.0856663 0.022834105 -0.002114607 -0.018299598 0.7137796 0.0023546857 80.0 1 1.0057087 0.0003 0.49403001303756583 480000 152 2676
17 14.753592 2.0201967 9.818592 17.896355 61.107143 39.237682 0.0 144.0 1000.0 1000.0 1000.0 1.0337871 -0.17781912 2.0208251 0.07713967 -0.74559337 0.96713716 -0.07713966 0.021505099 -0.0021802317 -0.017219797 0.7117573 0.002641642 80.0 1 1.0046718 0.0003 0.4930319916369756 510000 163 2696
18 15.633558 1.7668489 11.359488 20.172363 65.5 40.94116 0.0 151.0 1000.0 1000.0 1000.0 1.1204987 -0.16896279 2.0704296 0.07809577 -0.65714985 1.2424356 -0.07809578 0.022947129 -0.0022337474 -0.018493429 0.709731 0.0027480174 80.0 1 1.0045012 0.0003 0.4920339921279806 540000 174 2667
19 16.441065 1.6049327 12.741679 19.52819 72.39286 40.950615 5.0 172.0 1000.0 1000.0 1000.0 1.1919903 -0.1459381 2.2808318 0.07948065 -0.8591546 1.1575214 -0.07948065 0.02244277 -0.002236288 -0.018221753 0.7077006 0.0025193687 80.0 1 1.0051978 0.0003 0.49103599328005176 570000 185 2689
20 16.563747 1.9983683 12.547599 22.137873 73.46429 39.12022 17.0 156.0 1000.0 1000.0 1000.0 1.220499 -0.190622 2.1902785 0.07695993 -0.7352027 0.98459226 -0.07695992 0.02279111 -0.00248106 -0.018265866 0.7056661 0.002961842 80.0 1 1.0047648 0.0003 0.49003800329248687 600000 197 2697
21 17.586988 1.9805909 11.27958 20.362326 68.92857 48.874424 0.0 223.0 1000.0 1000.0 1000.0 1.3293828 -0.19114408 2.259475 0.077091165 -0.943944 1.2001425 -0.077091165 0.02396425 -0.0026338287 -0.01942204 0.7036275 0.0029726438 80.0 1 1.0060678 0.0003 0.48904000119877045 630000 208 2669
22 17.937458 1.4216353 15.281976 20.806192 69.07143 43.725548 0.0 158.0 1000.0 1000.0 1000.0 1.4074332 -0.011619061 2.3647082 0.07140703 -0.7909811 1.1454241 -0.071407035 0.020875938 -0.002356438 -0.016814668 0.7015848 0.002795786 80.0 1 1.00581 0.0003 0.48804199534303844 660000 219 2689
23 17.878342 2.478206 12.93934 24.866644 58.035713 40.022747 0.0 139.0 1000.0 1000.0 1000.0 1.4498497 0.06695287 2.5725126 0.06025171 -0.82259583 1.2214532 -0.060251713 0.022570208 -0.0025242157 -0.017606752 0.6995376 0.0028450524 80.0 1 1.0041398 0.0003 0.4870439940524629 690000 230 2697
24 18.557964 1.9647856 13.974906 22.947739 64.14286 47.419643 0.0 170.0 1000.0 1000.0 1000.0 1.5213422 0.09527178 2.6331508 0.059876222 -0.7329824 1.2590314 -0.05987622 0.021732362 -0.002531005 -0.017222762 0.6974865 0.0031361145 80.0 1 1.0040245 0.0003 0.48604600563714795 720000 241 2702
25 19.314447 2.0699482 15.389144 24.224987 62.142857 42.127117 0.0 134.0 1000.0 1000.0 1000.0 1.5961549 0.24336097 2.5239708 0.065240175 -0.7295001 1.2631865 -0.065240175 0.022371294 -0.0026102113 -0.017639194 0.69543105 0.0032122307 80.0 1 1.0056791 0.0003 0.48504800947891086 750000 253 2674
26 20.266603 1.8866094 16.012827 24.641666 55.25 34.47631 0.0 154.0 1000.0 1000.0 1000.0 1.6472049 0.19883434 2.6636806 0.06728175 -0.9451743 1.1399194 -0.06728175 0.023509461 -0.0028649298 -0.018567199 0.6933714 0.0031842263 80.0 1 1.0060186 0.0003 0.4840500140318596 780000 264 2672
